MENÚ PERSONAL 2026,,,,,,,,
,,,,,,,,
,,DILLUNS,DIMARTS,DIMECRES,DIJOUS,DIVENDRES,DISSABTE,DIUMENGE
DINAR,1r O,AMANIDA DE PASTA amb ou i tonyina apart,ARRÒS AMB VERDURES AL WOK,PASTA BOLONYESA / PESTO,AMANIDA  DE CIGRONS amb ou i tonyina apart,PAELLA O FIDEUÀ,AMANIDA RUSSA amb ou i tonyina apart,ARRÒS A LA CUBANA amb ous estrellats
,1r Ve,AMANIDA DE PASTA,ARRÒS AMB VERDURES AL WOK,PASTA NAPOLITANA,AMANIDA DE CIGRONS,PAELLA DE VERDURES,AMANIDA RUSSA,ARRÒS A LA CUBANA
,,,,,,,,
,2n O,SALSITXES amb patates fregides,LLOM AMB SALSA DE FORMATGE,POLLASTRE EMPANAT amb patates fregides,PEBROT FARCIT DE CARN,,FILET DE VEDELLA amb patates fregides,PIT DE POLLASTRE
,2n Ve,HAMBURGUESA DE CARXOFA,SALTAT DE XAMPINYONS I PÈSOLS,FAJITAS VEGANES,PEBROT FARCIT DE VERDURES,,SAMFAINA AMB LLEGUMS,KATSU D'AUBERGINIA
,,,,,,,,
SOPAR,1r O,PIZZA O / V / Ve,AMANIDA DE PATATA,AMANIDA VERDA,VERDURES PLANXA / SALTEJADES,PÈSOLS SALTATS AMB PERNIL,AMANIDA TOMÀQUET amb Mozzarella,SALMOREJO
,1r Ve,,AMANIDA DE PATATA,AMANIDA VERDA,VERDURES PLANXA / SALTEJADES,PÈSOLS SALTATS AMB VERDURES,AMANIDA TOMÀQUET,SALMOREJO
,,,,,,,,
,2n O,,VARIAT DE CROQUETES I ALETES,PEIX A LA PLANXA amb patata panadera,CANELONS DE CARN,HAMBURGUESA VEDELLA amb patates fregides,POLLASTRE AL FORN amb patates,MANDONGUILLES EN SALSA
,2n Ve,,TOFU SALTAT A LA SOJA amb ceba i pebrot,SOJA TEXTURIZADA amb arròs,TOFU FREGIT,HAMBURGUESA HEURA amb patates fregides,HUMMUS,CHANAMASANA
,,,,,,,,
,,,,,,,,POSTRE ESPECIAL
